收费站,时间区间起点,入站车流,出站车流
收费站11,2022-02-25 01:00:00,0,2
收费站11,2022-02-25 02:00:00,1,1
收费站11,2022-02-25 03:00:00,4,0
收费站11,2022-02-25 04:00:00,1,1
收费站11,2022-02-25 05:00:00,4,0
收费站11,2022-02-25 06:00:00,14,3
收费站11,2022-02-25 07:00:00,36,3
收费站11,2022-02-25 08:00:00,50,17
收费站11,2022-02-25 09:00:00,53,16
收费站11,2022-02-25 10:00:00,45,14
收费站11,2022-02-25 11:00:00,34,13
收费站11,2022-02-25 12:00:00,19,17
收费站11,2022-02-25 13:00:00,36,11
收费站11,2022-02-25 14:00:00,37,22
收费站11,2022-02-25 15:00:00,38,17
收费站11,2022-02-25 16:00:00,54,37
收费站11,2022-02-25 17:00:00,53,33
收费站11,2022-02-25 18:00:00,52,25
收费站11,2022-02-25 19:00:00,25,13
收费站11,2022-02-25 20:00:00,14,11
收费站11,2022-02-25 21:00:00,6,16
收费站11,2022-02-25 22:00:00,11,4
收费站11,2022-02-25 23:00:00,1,9
收费站11,2022-02-26 00:00:00,5,7
收费站11,2022-02-26 01:00:00,3,3
收费站11,2022-02-26 02:00:00,3,1
收费站11,2022-02-26 03:00:00,2,1
收费站11,2022-02-26 04:00:00,0,0
收费站11,2022-02-26 05:00:00,1,1
收费站11,2022-02-26 06:00:00,12,5
收费站11,2022-02-26 07:00:00,17,3
收费站11,2022-02-26 08:00:00,37,11
收费站11,2022-02-26 09:00:00,45,13
收费站11,2022-02-26 10:00:00,45,15
收费站11,2022-02-26 11:00:00,35,15
收费站11,2022-02-26 12:00:00,34,18
收费站11,2022-02-26 13:00:00,46,8
收费站11,2022-02-26 14:00:00,31,19
收费站11,2022-02-26 15:00:00,42,24
收费站11,2022-02-26 16:00:00,31,26
收费站11,2022-02-26 17:00:00,63,13
收费站11,2022-02-26 18:00:00,39,16
收费站11,2022-02-26 19:00:00,37,17
收费站11,2022-02-26 20:00:00,13,9
收费站11,2022-02-26 21:00:00,7,10
收费站11,2022-02-26 22:00:00,5,3
收费站11,2022-02-26 23:00:00,8,2
收费站11,2022-02-27 00:00:00,3,0
收费站11,2022-02-27 01:00:00,0,1
收费站11,2022-02-27 02:00:00,4,2
收费站11,2022-02-27 03:00:00,0,0
收费站11,2022-02-27 04:00:00,2,0
收费站11,2022-02-27 05:00:00,3,2
收费站11,2022-02-27 06:00:00,20,2
收费站11,2022-02-27 07:00:00,20,2
收费站11,2022-02-27 08:00:00,29,5
收费站11,2022-02-27 09:00:00,48,9
收费站11,2022-02-27 10:00:00,33,20
收费站11,2022-02-27 11:00:00,26,14
收费站11,2022-02-27 12:00:00,24,10
收费站11,2022-02-27 13:00:00,40,10
收费站11,2022-02-27 14:00:00,51,28
收费站11,2022-02-27 15:00:00,54,25
收费站11,2022-02-27 16:00:00,40,40
收费站11,2022-02-27 17:00:00,46,32
收费站11,2022-02-27 18:00:00,45,36
收费站11,2022-02-27 19:00:00,22,21
收费站11,2022-02-27 20:00:00,11,9
收费站11,2022-02-27 21:00:00,18,11
收费站11,2022-02-27 22:00:00,9,11
收费站11,2022-02-27 23:00:00,0,7
收费站15,2022-02-22 00:00:00,3,0
收费站15,2022-02-22 01:00:00,1,0
收费站15,2022-02-22 02:00:00,2,0
收费站15,2022-02-22 03:00:00,0,0
收费站15,2022-02-22 04:00:00,1,0
收费站15,2022-02-22 05:00:00,5,0
收费站15,2022-02-22 06:00:00,12,1
收费站15,2022-02-22 07:00:00,26,8
收费站15,2022-02-22 08:00:00,58,19
收费站15,2022-02-22 09:00:00,68,7
收费站15,2022-02-22 10:00:00,48,10
收费站15,2022-02-22 11:00:00,36,8
收费站15,2022-02-22 12:00:00,24,8
收费站15,2022-02-22 13:00:00,44,8
收费站15,2022-02-22 14:00:00,31,13
收费站15,2022-02-22 15:00:00,31,12
收费站15,2022-02-22 16:00:00,31,6
收费站15,2022-02-22 17:00:00,21,17
收费站15,2022-02-22 18:00:00,25,27
收费站15,2022-02-22 19:00:00,12,11
收费站15,2022-02-22 20:00:00,15,3
收费站15,2022-02-22 21:00:00,7,8
收费站15,2022-02-22 22:00:00,3,7
收费站15,2022-02-22 23:00:00,7,1
收费站15,2022-02-23 00:00:00,2,1
收费站15,2022-02-23 01:00:00,2,2
收费站15,2022-02-23 02:00:00,0,1
收费站15,2022-02-23 03:00:00,1,0
收费站15,2022-02-23 04:00:00,2,0
收费站15,2022-02-23 05:00:00,4,1
收费站15,2022-02-23 06:00:00,17,1
收费站15,2022-02-23 07:00:00,40,9
收费站15,2022-02-23 08:00:00,41,20
收费站15,2022-02-23 09:00:00,45,10
收费站15,2022-02-23 10:00:00,40,8
收费站15,2022-02-23 11:00:00,30,14
收费站15,2022-02-23 12:00:00,29,12
收费站15,2022-02-23 13:00:00,34,9
收费站15,2022-02-23 14:00:00,32,9
收费站15,2022-02-23 15:00:00,29,12
收费站15,2022-02-23 16:00:00,30,11
收费站15,2022-02-23 17:00:00,30,17
收费站15,2022-02-23 18:00:00,20,24
收费站15,2022-02-23 19:00:00,20,13
收费站15,2022-02-23 20:00:00,15,9
收费站15,2022-02-23 21:00:00,6,8
收费站15,2022-02-23 22:00:00,5,0
收费站15,2022-02-23 23:00:00,3,6
收费站15,2022-02-24 00:00:00,2,1
收费站15,2022-02-24 01:00:00,1,0
收费站15,2022-02-24 02:00:00,2,0
收费站15,2022-02-24 03:00:00,1,0
收费站15,2022-02-24 04:00:00,3,0
收费站15,2022-02-24 05:00:00,2,0
收费站15,2022-02-24 06:00:00,14,1
收费站15,2022-02-24 07:00:00,20,12
收费站15,2022-02-24 08:00:00,40,16
收费站15,2022-02-24 09:00:00,46,9
收费站15,2022-02-24 10:00:00,40,13
收费站15,2022-02-24 11:00:00,27,11
收费站15,2022-02-24 12:00:00,24,10
收费站15,2022-02-24 13:00:00,36,8
收费站15,2022-02-24 14:00:00,48,6
收费站15,2022-02-24 15:00:00,44,16
收费站15,2022-02-24 16:00:00,34,13
收费站15,2022-02-24 17:00:00,25,8
收费站15,2022-02-24 18:00:00,26,20
收费站15,2022-02-24 19:00:00,14,13
收费站15,2022-02-24 20:00:00,13,6
收费站15,2022-02-24 21:00:00,8,11
收费站15,2022-02-24 22:00:00,5,5
收费站15,2022-02-24 23:00:00,3,1
收费站15,2022-02-25 00:00:00,1,0
收费站15,2022-02-25 01:00:00,1,1
收费站15,2022-02-25 02:00:00,1,0
收费站15,2022-02-25 03:00:00,1,0
收费站15,2022-02-25 04:00:00,1,0
收费站15,2022-02-25 05:00:00,4,1
收费站15,2022-02-25 06:00:00,12,3
收费站15,2022-02-25 07:00:00,26,4
收费站15,2022-02-25 08:00:00,32,15
收费站15,2022-02-25 09:00:00,55,6
收费站15,2022-02-25 10:00:00,36,11
收费站15,2022-02-25 11:00:00,28,10
收费站15,2022-02-25 12:00:00,16,7
收费站15,2022-02-25 13:00:00,23,9
收费站15,2022-02-25 14:00:00,37,12
收费站15,2022-02-25 15:00:00,38,19
收费站15,2022-02-25 16:00:00,32,20
收费站15,2022-02-25 17:00:00,50,20
收费站15,2022-02-25 18:00:00,30,21
收费站15,2022-02-25 19:00:00,32,17
收费站15,2022-02-25 20:00:00,24,14
收费站15,2022-02-25 21:00:00,7,5
收费站15,2022-02-25 22:00:00,10,8
收费站15,2022-02-25 23:00:00,4,4
收费站15,2022-02-26 00:00:00,0,1
收费站15,2022-02-26 01:00:00,2,2
收费站15,2022-02-26 02:00:00,1,0
收费站15,2022-02-26 03:00:00,1,0
收费站15,2022-02-26 04:00:00,0,0
收费站15,2022-02-26 05:00:00,3,0
收费站15,2022-02-26 06:00:00,10,0
收费站15,2022-02-26 07:00:00,24,4
收费站15,2022-02-26 08:00:00,37,11
收费站15,2022-02-26 09:00:00,60,8
收费站15,2022-02-26 10:00:00,45,11
收费站15,2022-02-26 11:00:00,41,16
